1;Mnemo;Label;Journal;JournalLocked;Notes;MajUser;MajStamp
2;Mnemo;Comment;Account;AccountLocked;Label;LabelLocked;Debit;DebitLocked;Credit;CreditLocked
1;VEHFOR;Véhicule - Entretien standard, carburant (mixte);AC;False;L'entretien standard et le carburant sont pris en compte dans le forfait kilométrique fourni par l'administration fiscale.|Si l'usager fait le choix d'utiliser ce forfait, alors ces montants sont à réintégrer dans les dépenses personnelles de l'exploitant.|;ofat;16-06-2014 08:00:31
2;VEHFOR;Montant HT;6411;False;;False;;False;;True
2;VEHFOR;Montant TVA ( taux réduit);;False;=L1;True;=D1*TVAR1;False;;True
2;VEHFOR;Montant TVA ( taux normal);445633;False;=L1;True;=D1*TVAN;False;;True
2;VEHFOR;Solde TTC réglé;51241;False;=L1;True;;True;=SOLDE;True
1;VEHHFK;Véhicule - Parking, péages (mixte);AC;False;Les frais de parking et de péage ne sont pas pris en charge par le forfait kilométrique|;ofat;16-06-2014 08:03:59
2;VEHHFK;Montant HT;6412;False;;False;;False;;True
2;VEHHFK;Montant TVA (taux réduit);;False;=L1;True;=D1*TVAR1;False;;True
2;VEHHFK;Montant TVA (taux normal);;False;=L1;True;=D1*TVAN;False;;True
2;VEHHFK;Solde TTC réglé;51241;False;=L1;True;;True;=SOLDE;True
1;VEHHFZ;Véhicule - Autres frais exceptionnels (mixte);AC;False;;ofat;16-06-2014 08:06:19
2;VEHHFZ;Montant HT;6413;False;;False;;False;;True
2;VEHHFZ;Montant TVA (taux réduit);;False;=L1;True;=D1*TVAR1;False;;True
2;VEHHFZ;Montant TVA (taux normal);;False;=L1;True;=D1*TVAN;False;;True
2;VEHHFZ;Solde TTC réglé;51241;False;=L1;True;;True;=SOLDE;True
